Precio	Kilometraje	Modelo	Tipo	Cilindrada	Potencia	Puertas	Crucero	Sonido	Piel
17314.10	8221	Buick	Sedan	6	3.1	4	1	1	1
17542.04	9135	Buick	Sedan	6	3.1	4	1	1	0
16218.85	13196	Buick	Sedan	6	3.1	4	1	1	0
16336.91	16342	Buick	Sedan	6	3.1	4	1	0	0
16339.17	19832	Buick	Sedan	6	3.1	4	1	0	1
15709.05	22236	Buick	Sedan	6	3.1	4	1	1	0
15230.00	22576	Buick	Sedan	6	3.1	4	1	1	0
15048.04	22964	Buick	Sedan	6	3.1	4	1	1	0
14862.09	24021	Buick	Sedan	6	3.1	4	1	0	1
15295.02	27325	Buick	Sedan	6	3.1	4	1	1	1
21335.85	10237	Buick	Sedan	6	3.6	4	1	0	0
20538.09	15066	Buick	Sedan	6	3.6	4	1	1	0
20512.09	16633	Buick	Sedan	6	3.6	4	1	1	0
19924.16	19800	Buick	Sedan	6	3.6	4	1	1	1
19774.25	23359	Buick	Sedan	6	3.6	4	1	1	1
19344.17	23765	Buick	Sedan	6	3.6	4	1	1	0
19105.13	24008	Buick	Sedan	6	3.6	4	1	0	0
18543.43	26034	Buick	Sedan	6	3.6	4	1	1	1
17808.20	32896	Buick	Sedan	6	3.6	4	1	1	0
17968.84	34665	Buick	Sedan	6	3.6	4	1	1	1
22358.88	8970	Buick	Sedan	6	3.6	4	1	1	0
23785.92	10577	Buick	Sedan	6	3.6	4	1	1	1
22926.09	14363	Buick	Sedan	6	3.6	4	1	1	1
21895.76	16508	Buick	Sedan	6	3.6	4	1	0	1
21273.06	18908	Buick	Sedan	6	3.6	4	1	0	0
21460.01	19467	Buick	Sedan	6	3.6	4	1	0	1
21183.12	21394	Buick	Sedan	6	3.6	4	1	0	0
20406.10	22596	Buick	Sedan	6	3.6	4	1	0	0
21058.14	24469	Buick	Sedan	6	3.6	4	1	1	1
19556.90	25245	Buick	Sedan	6	3.6	4	1	0	0
23447.69	15755	Buick	Sedan	6	3.8	4	1	1	0
23547.24	16235	Buick	Sedan	6	3.8	4	1	1	0
23016.01	18147	Buick	Sedan	6	3.8	4	1	1	1
22230.03	22102	Buick	Sedan	6	3.8	4	1	0	1
22625.07	23612	Buick	Sedan	6	3.8	4	1	0	1
21799.17	24439	Buick	Sedan	6	3.8	4	1	0	0
21341.26	25212	Buick	Sedan	6	3.8	4	1	1	1
21683.03	26779	Buick	Sedan	6	3.8	4	1	1	0
20986.02	27096	Buick	Sedan	6	3.8	4	1	0	0
20902.10	29649	Buick	Sedan	6	3.8	4	1	1	1
